"Nummer","Unternehmen","PLZ","Ort","Konzernmarken","Umsatz","NettoDB","Preisumsetzung","Kundenklasse","Jahr","Prognose","Geo Point","Ortsname","Breitengrad","Längengrad","Quad"
1283,"C27EF32D570BBFC4E9FB9B7F",81539,"München",7,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","48.1107153332, 11.5890959961","München",48.1107153332,11.5890959961,"<50,2724/>9,7901"
1284,"AF04221460E657E7C091B6",88637,"Leibertingen, Buchheim",6,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","48.0300864565, 9.02139608574","Leibertingen, Buchheim",48.0300864565,9.02139608574,"<50,2724/<9,7901"
1292,"A90234A18349AA655990AC93",57520,"Emmerzhausen, Niederdreisbach, Steinebach",1,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"A","50.7772432228, 7.90687849111","Emmerzhausen, Niederdreisbach, Steinebach",50.7772432228,7.90687849111,">50,2724/<9,7901"
1295,"FF9878A706E8EE7661EE5D",31249,"Hohenhameln",5,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"A","52.2690503651, 10.0774726307","Hohenhameln",52.2690503651,10.0774726307,">50,2724/>9,7901"
1297,"5E183C48D80967B31B59BB6",89420,"Höchstädt a.d. Donau",3,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.6243399393, 10.5746571855","Höchstädt a.d. Donau",48.6243399393,10.5746571855,"<50,2724/>9,7901"
1303,"F99E33099996AB2CBF758CEC",54318,"Mertesdorf",3,"Hoher Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.7702990062, 6.72446420445","Mertesdorf",49.7702990062,6.72446420445,"<50,2724/<9,7901"
1310,"D3FCDD1D09F193F825257C0",86470,"Thannhausen",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.2774397593, 10.478787363","Thannhausen",48.2774397593,10.478787363,"<50,2724/>9,7901"
1318,"ACE3BA491105BFB6261CC0C5",57319,"Bad Berleburg",6,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","51.0550659916, 8.40585731836","Bad Berleburg",51.0550659916,8.40585731836,">50,2724/<9,7901"
1319,"FC23B9C834FDCF6A74A0E48D",7607,"Eisenberg, Gösen, Hainspitz",5,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","50.9635827114, 11.883144564","Eisenberg, Gösen, Hainspitz",50.9635827114,11.883144564,">50,2724/>9,7901"
1321,"5DA3820A20E9DBB18B992313",14823,"Niemegk",2,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.0528409478, 12.660343739","Niemegk",52.0528409478,12.660343739,">50,2724/>9,7901"
1325,"FEB43B3787608D5A1E375B9",97252,"Frickenhausen",7,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","49.6790343116, 10.1020431664","Frickenhausen",49.6790343116,10.1020431664,"<50,2724/>9,7901"
1326,"FF4F3065CE4860BA29D71A9",47839,"Krefeld",7,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","51.3745996399, 6.50824562501","Krefeld",51.3745996399,6.50824562501,">50,2724/<9,7901"
1327,"5F34F515B0D706BC266B79",1809,"Heidenau",3,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","50.9461843746, 13.8414627243","Heidenau",50.9461843746,13.8414627243,">50,2724/>9,7901"
1332,"A872C35493BB8952AB6D6FD",66117,"Saarbrücken",9,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","49.2223880001, 6.96288759415","Saarbrücken",49.2223880001,6.96288759415,"<50,2724/<9,7901"
1333,"F8B2FB4884BBE9A5D105F0F",87668,"Rieden",5,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","47.9535772215, 10.6480941865","Rieden",47.9535772215,10.6480941865,"<50,2724/>9,7901"
1337,"5F684DC7821ED4EEFD3B230",8058,"Zwickau",4,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.7621583367, 12.4755336543","Zwickau",50.7621583367,12.4755336543,">50,2724/>9,7901"
1342,"A82E81CA3A9B0E5A64260B2",15938,"Golßen",7,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","51.9500034158, 13.5888837447","Golßen",51.9500034158,13.5888837447,">50,2724/>9,7901"
1344,"AECC3CB481B8BB4E75F2A90",25868,"Norderstapel",3,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"A","54.3605608829, 9.25715376154","Norderstapel",54.3605608829,9.25715376154,">50,2724/<9,7901"
1345,"FE0C3F35A440CB92274E2ED8",77790,"Steinach",3,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","48.2856947827, 8.02849111153","Steinach",48.2856947827,8.02849111153,"<50,2724/<9,7901"
1347,"5F8C4F777BBAF8D27633B8",53547,"Breitscheid, Dattenberg, Hausen, Hümmerich, Kasbach-Ohlenberg, Roßbach u",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","50.5596481483, 7.39046098103","Breitscheid, Dattenberg, Hausen, Hümmerich, Kasbach-Ohlenberg, Roßbach u",50.5596481483,7.39046098103,">50,2724/<9,7901"
1351,"5C8FBEB76B9425836E1A782D",30455,"Hannover",4,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.3598250213, 9.6676309842","Hannover",52.3598250213,9.6676309842,">50,2724/<9,7901"
1352,"A8CA837AC33F2266EF2D13A",6231,"Bad Dürrenberg",6,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"notA","51.2843104424, 12.0955844023","Bad Dürrenberg",51.2843104424,12.0955844023,">50,2724/>9,7901"
1353,"F80ABB66D43F429195458C8",21335,"Lüneburg",3,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"A","53.2183616195, 10.3867639108","Lüneburg",53.2183616195,10.3867639108,">50,2724/>9,7901"
1358,"AD9382DD655F301177C69FCC",3238,"Finsterwalde",3,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","51.5956408346, 13.7246363094","Finsterwalde",51.5956408346,13.7246363094,">50,2724/>9,7901"
1359,"FD53815C40A740CD257ABB84",79805,"Eggingen",2,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","47.7016427625, 8.38869907842","Eggingen",47.7016427625,8.38869907842,"<50,2724/<9,7901"
1369,"F67FA1E0042C0960",29562,"Suhlendorf",5,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","52.9392925129, 10.7765862568","Suhlendorf",52.9392925129,10.7765862568,">50,2724/>9,7901"
1382,"FB7E42211DDEDF2594BF27D8",56428,"Dernbach (Westerwald)",4,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.4495111052, 7.77518649033","Dernbach (Westerwald)",50.4495111052,7.77518649033,">50,2724/<9,7901"
1390,"F247A500F45E5A9CA981EE71",22159,"Hamburg",6,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","53.6137326017, 10.11878085","Hamburg",53.6137326017,10.11878085,">50,2724/>9,7901"
1391,"6027FF157E3ACFD6EF58B9",48329,"Havixbeck",6,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","51.9743367497, 7.44290968496","Havixbeck",51.9743367497,7.44290968496,">50,2724/<9,7901"
1395,"A1D818E83541A11FF9095F65",64732,"Bad König",6,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.7414441275, 9.01120884125","Bad König",49.7414441275,9.01120884125,"<50,2724/<9,7901"
1396,"F1181B6910B9D1C3ABB57B2D",83673,"Bichl",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","47.7192383056, 11.432702943","Bichl",47.7192383056,11.432702943,"<50,2724/>9,7901"
1399,"A2DBA2A8EE815BD54F64CE0E",83131,"Nußdorf a. Inn",3,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"A","47.7286578142, 12.1763891822","Nußdorf a. Inn",47.7286578142,12.1763891822,"<50,2724/>9,7901"
1401,"65E7BD868C47B5AAB94B43",96487,"Dörfles-Esbach",8,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","50.2870085789, 10.9991551905","Dörfles-Esbach",50.2870085789,10.9991551905,">50,2724/>9,7901"
1404,"507C208018AAF245C67814A",63785,"Obernburg a.Main",10,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","49.8280457456, 9.11376155654","Obernburg a.Main",49.8280457456,9.11376155654,"<50,2724/<9,7901"
1425,"A0F424557E3C5F2D1C8A45B",82064,"Straßlach-Dingharting",3,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"A","48.0141855452, 11.5359401414","Straßlach-Dingharting",48.0141855452,11.5359401414,"<50,2724/>9,7901"
1430,"F3379D948004D53BF85BB178",22159,"Hamburg",1,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","53.6137326017, 10.11878085","Hamburg",53.6137326017,10.11878085,">50,2724/>9,7901"
1431,"772BB64D2DCD3B7E794A389",25576,"Brokdorf",6,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","53.8737966747, 9.32152093565","Brokdorf",53.8737966747,9.32152093565,">50,2724/<9,7901"
1436,"F06823FD64E35E64FA6F2424",95490,"Mistelgau",1,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","49.9070785636, 11.4194519846","Mistelgau",49.9070785636,11.4194519846,"<50,2724/>9,7901"
1437,"22BFD8E315F89F4716675",4808,"Wurzen",5,"Hoher Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"A","51.3884319917, 12.8030502407","Wurzen",51.3884319917,12.8030502407,">50,2724/>9,7901"
1440,"F36B99BDBF23A4AE4C02B54F",75378,"Bad Liebenzell",3,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"A","48.7729251552, 8.73448401917","Bad Liebenzell",48.7729251552,8.73448401917,"<50,2724/<9,7901"
1444,"510C18146CF07DE297A25E43",53359,"Rheinbach",3,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.6155367152, 6.95015103834","Rheinbach",50.6155367152,6.95015103834,">50,2724/<9,7901"
1448,"520FA254B730872821CFCF28",89561,"Dischingen",3,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","48.7031611292, 10.4019328851","Dischingen",48.7031611292,10.4019328851,"<50,2724/>9,7901"
1457,"5253A67D8817F6BD9596CB1F",97246,"Eibelstadt",5,"Hoher Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.7243435894, 10.012076262","Eibelstadt",49.7243435894,10.012076262,"<50,2724/>9,7901"
1464,"A3646DE98E2EA483669AF066",83358,"Seeon-Seebruck",3,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","47.9381516554, 12.4555888441","Seeon-Seebruck",47.9381516554,12.4555888441,"<50,2724/>9,7901"
1467,"5127EFEA64023A4E7D7282DB",56288,"Kastellaun",4,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"A","50.053860492, 7.46065353749","Kastellaun",50.053860492,7.46065353749,"<50,2724/<9,7901"
1475,"F3F86A4194F1A5CA807FD019",74182,"Obersulm",6,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","49.1319526928, 9.38753048563","Obersulm",49.1319526928,9.38753048563,"<50,2724/<9,7901"
1494,"98D8A9E47F94C1FE844DE3C2",67657,"Kaiserslautern",7,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","49.4518000732, 7.81341837637","Kaiserslautern",49.4518000732,7.81341837637,"<50,2724/<9,7901"
1498,"9BDB13A4A4543B34322072A9",73557,"Mutlangen",4,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"A","48.8333183699, 9.78696003903","Mutlangen",48.8333183699,9.78696003903,"<50,2724/<9,7901"
1501,"6F9EA5241BF37DBD72DD40D0",25491,"Hetlingen",3,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","53.641966175, 9.54757800771","Hetlingen",53.641966175,9.54757800771,">50,2724/<9,7901"
1511,"6F7AA50F7F47904548F19E3",61250,"Usingen",6,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.3479702578, 8.53017566413","Usingen",50.3479702578,8.53017566413,">50,2724/<9,7901"
1512,"39E0962448A093ED5DD99D92",75389,"Neuweiler",2,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.6714080441, 8.59659285212","Neuweiler",48.6714080441,8.59659285212,"<50,2724/<9,7901"
1515,"C8A0AE67794CF7EAF05C7E44",65934,"Frankfurt am Main",6,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.1037653655, 8.57627945612","Frankfurt am Main",50.1037653655,8.57627945612,"<50,2724/<9,7901"
1517,"6A232FE5B69819FBB90828B1",67742,"Lauterecken u.a.",4,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","49.6478451896, 7.56323301305","Lauterecken u.a.",49.6478451896,7.56323301305,"<50,2724/<9,7901"
1520,"3FE6A2A71D2B4BA96CC9378",19059,"Schwerin",4,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"A","53.6376268134, 11.3908064226","Schwerin",53.6376268134,11.3908064226,">50,2724/>9,7901"
1529,"CA372C98CAD1B5DA851FDDF",92551,"Stulln",4,"Hoher Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"A","49.42091595, 12.1351935644","Stulln",49.42091595,12.1351935644,"<50,2724/>9,7901"
1530,"3E729A187576F353C5E23FA6",72766,"Reutlingen",11,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"A","48.4796838164, 9.22027038661","Reutlingen",48.4796838164,9.22027038661,"<50,2724/<9,7901"
1537,"9AAB2B30D00EB49363FA2DA0",12277,"Berlin",4,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"A","52.4134849737, 13.3751164487","Berlin",52.4134849737,13.3751164487,">50,2724/>9,7901"
1539,"3E2E9E314A5182C671BB3B91",83629,"Weyarn",3,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","47.8580582692, 11.8149478083","Weyarn",47.8580582692,11.8149478083,"<50,2724/>9,7901"
1540,"6EEE9DB06FA9F21A23071FD9",92545,"Niedermurach",4,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","49.4448749966, 12.360863621","Niedermurach",49.4448749966,12.360863621,"<50,2724/>9,7901"
1545,"6B0F1358FDE5E7C95C8B738F",93177,"Altenthann",3,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"A","49.0711898612, 12.3030659353","Altenthann",49.0711898612,12.3030659353,"<50,2724/>9,7901"
1549,"6E0A9D9B73AEC547B1F3A220",48155,"Münster",5,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","51.9515193351, 7.67098422476","Münster",51.9515193351,7.67098422476,">50,2724/<9,7901"
1558,"3E969A336971C40E5716825F",76135,"Karlsruhe",6,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","48.9915854761, 8.37789792864","Karlsruhe",48.9915854761,8.37789792864,"<50,2724/<9,7901"
1561,"6B24E4A6F517A065B65BAF17",88524,"Uttenweiler",7,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","48.1578604649, 9.61079026285","Uttenweiler",48.1578604649,9.61079026285,"<50,2724/<9,7901"
1562,"9A64DCE5C4FBC4621BDE4CC1",17440,"Kröslin, Krummin, Lassan u.a.",7,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","53.9507710109, 13.8100028983","Kröslin, Krummin, Lassan u.a.",53.9507710109,13.8100028983,">50,2724/>9,7901"
1564,"38E75D67B2F7AD3412D10C4",93188,"Pielenhofen",3,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"notA","49.0774561772, 11.976906764","Pielenhofen",49.0774561772,11.976906764,"<50,2724/>9,7901"
1565,"68275EE62ED75AAF363240",56321,"Rhens",2,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"notA","50.2724050335, 7.59159347466","Rhens",50.2724050335,7.59159347466,"<50,2724/<9,7901"
1571,"6B78E08FCA30D1F02027320",4158,"Leipzig",6,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","51.4025353109, 12.3341806989","Leipzig",51.4025353109,12.3341806989,">50,2724/>9,7901"
1577,"C9FB610D5E4D65278B832F2",31621,"Pennigsehl",12,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.6356120218, 9.01691814458","Pennigsehl",52.6356120218,9.01691814458,">50,2724/<9,7901"
1578,"3DBED78DBA437968BAB4640",91639,"Wolframs-Eschenbach",5,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"notA","49.2219869113, 10.7338953082","Wolframs-Eschenbach",49.2219869113,10.7338953082,"<50,2724/>9,7901"
1584,"21C72CD8BB4746896CD5E9A",83075,"Bad Feilnbach",4,"Hoher Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","47.7871129819, 11.9995353376","Bad Feilnbach",47.7871129819,11.9995353376,"<50,2724/>9,7901"
1585,"D087149B3A588BB5AABA6A32",66280,"Sulzbach/Saar",9,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","49.2998991119, 7.07139443471","Sulzbach/Saar",49.2998991119,7.07139443471,"<50,2724/<9,7901"
1590,"229892B1EF5364ED50BD40E",59075,"Hamm",6,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","51.7056908382, 7.7477086262","Hamm",51.7056908382,7.7477086262,">50,2724/<9,7901"
1591,"D3D8AAF2DEBFEAF4D1600B",78357,"Mühlingen",5,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","47.9154549039, 9.02188431382","Mühlingen",47.9154549039,9.02188431382,"<50,2724/<9,7901"
1598,"249EA632BAD8BCA95E1E5C7C",47059,"Duisburg",6,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"notA","51.4391567124, 6.7403321613","Duisburg",51.4391567124,6.7403321613,">50,2724/<9,7901"
1604,"D03F10991978CD7D8C17D3FC",25479,"Ellerau",4,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","53.7603041568, 9.9258881923","Ellerau",53.7603041568,9.9258881923,">50,2724/>9,7901"
1607,"247AA619A6DF8BF4CCEAE185",71636,"Ludwigsburg",6,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.8883879039, 9.16679860833","Ludwigsburg",48.8883879039,9.16679860833,"<50,2724/<9,7901"
1609,"222096B3CC73222523A6A576",89415,"Lauingen (Donau)",6,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.5627021351, 10.427702035","Lauingen (Donau)",48.5627021351,10.427702035,"<50,2724/>9,7901"
1619,"23B4AE0CA42E9ADFE0884786",83119,"Obing",5,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","48.0141864475, 12.4005829907","Obing",48.0141864475,12.4005829907,"<50,2724/>9,7901"
1620,"D2F4964F95C2FED84D0DA450",26954,"Nordenham",6,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","53.4550873406, 8.48387187303","Nordenham",53.4550873406,8.48387187303,">50,2724/<9,7901"
1621,"823495CEB03A8E041FB18018",97729,"Ramsthal",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.1291825323, 10.0778311764","Ramsthal",50.1291825323,10.0778311764,"<50,2724/>9,7901"
1629,"23E8AA259B09EB4A54D143B1",84152,"Mengkofen",3,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","48.7249562904, 12.4294037589","Mengkofen",48.7249562904,12.4294037589,"<50,2724/>9,7901"
1630,"D2A89266AAE58F4DF954A067",29227,"Celle",7,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","52.5942949828, 10.1120733397","Celle",52.5942949828,10.1120733397,">50,2724/>9,7901"
1632,"702B13E46531615CB000F692",65599,"Dornburg",7,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","50.5117569123, 8.02253663551","Dornburg",50.5117569123,8.02253663551,">50,2724/<9,7901"
1633,"20EB106540C91180E2BCD2DA",67806,"Rockenhausen, Bisterschied u.a.",4,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","49.6279721588, 7.80890557292","Rockenhausen, Bisterschied u.a.",49.6279721588,7.80890557292,"<50,2724/<9,7901"
1639,"230CAA0E870EDC17C625FE48",78664,"Eschbronn",4,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.1914018701, 8.45069795778","Eschbronn",48.1914018701,8.45069795778,"<50,2724/<9,7901"
1641,"828C91CC931AC8CC391C39D6",31691,"Helpsen, Seggebruch",2,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.3053210493, 9.11253258928","Helpsen, Seggebruch",52.3053210493,9.11253258928,">50,2724/<9,7901"
1642,"70CF13CF7936560122F44B6B",91486,"Uehlfeld",5,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.6678285188, 10.7002467058","Uehlfeld",49.6678285188,10.7002467058,"<50,2724/>9,7901"
1646,"75CA9D0CF77D748FCF8C9AC4",76359,"Marxzell",3,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"notA","48.8526876466, 8.44840933826","Marxzell",48.8526876466,8.44840933826,"<50,2724/<9,7901"
1651,"709317E64611279496AD4F5C",9575,"Eppendorf",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","50.7962135539, 13.2544328644","Eppendorf",50.7962135539,13.2544328644,">50,2724/>9,7901"
1652,"2053146763E95748C4116B14",71636,"Ludwigsburg",10,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.8883879039, 9.16679860833","Ludwigsburg",48.8883879039,9.16679860833,"<50,2724/<9,7901"
1655,"75969925C85A51A35D9C272",83627,"Warngau",3,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","47.8175677293, 11.7379064131","Warngau",47.8175677293,11.7379064131,"<50,2724/>9,7901"
1657,"70E4E43171C411ADC82497F3",67744,"Medard, Rathskirchen u.a.",3,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","49.6684773983, 7.5834445019","Medard, Rathskirchen u.a.",49.6684773983,7.5834445019,"<50,2724/<9,7901"
1661,"73E75E71AA04EB677E49698",21147,"Hamburg",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","53.483308074, 9.85383466258","Hamburg",53.483308074,9.85383466258,">50,2724/>9,7901"
1664,"82A766329BE88F60D3CCE54E",24229,"Dänischenhagen",2,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"notA","54.4523385875, 10.1122793941","Dänischenhagen",54.4523385875,10.1122793941,">50,2724/>9,7901"
1667,"70B8E0184EE360387C7D93C4",92709,"Moosbach",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"A","49.5733253746, 12.4246789692","Moosbach",49.5733253746,12.4246789692,"<50,2724/>9,7901"
1673,"D23B619A81378E293529C531",49637,"Menslage",4,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","52.671926088, 7.81643557831","Menslage",52.671926088,7.81643557831,">50,2724/<9,7901"
1675,"76BED49B1B68B87C2768D300",75323,"Bad Wildbad",3,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","48.7247017306, 8.52799996137","Bad Wildbad",48.7247017306,8.52799996137,"<50,2724/<9,7901"
1677,"4B042415BF59545968F9592",24253,"Probsteierhagen",5,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"A","54.3629333057, 10.2927953493","Probsteierhagen",54.3629333057,10.2927953493,">50,2724/>9,7901"
1678,"1BC427949AA17599CC16A428",48739,"Legden",10,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","52.0460903551, 7.10067608209","Legden",52.0460903551,7.10067608209,">50,2724/<9,7901"
1680,"BA441C568EB56142332F63B6",68794,"Oberhausen-Rheinhausen",4,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.266908561, 8.49356644915","Oberhausen-Rheinhausen",49.266908561,8.49356644915,"<50,2724/<9,7901"
1685,"4D021096EAD2DD01C5BFC0A4",71384,"Weinstadt",6,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.7981454225, 9.38960928832","Weinstadt",48.7981454225,9.38960928832,"<50,2724/<9,7901"
1688,"1B9823BDA58640CAAD9C2B8",25856,"Hattstedt u.a.",4,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"notA","54.5416661698, 9.00482611955","Hattstedt u.a.",54.5416661698,9.00482611955,">50,2724/<9,7901"
1689,"EAD81BFE946A600BD5CA43C9",64572,"Büttelborn",4,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"notA","49.9113024112, 8.534505963","Büttelborn",49.9113024112,8.534505963,"<50,2724/<9,7901"
1692,"189B99FD7E46FEC6CE223174",66969,"Lemberg",6,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"A","49.1518603742, 7.66053751419","Lemberg",49.1518603742,7.66053751419,"<50,2724/<9,7901"
1694,"B91BA23F6A52EA1D311BF6EA",34626,"Neukirchen (Knüll)",7,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","50.876850645, 9.36103372909","Neukirchen (Knüll)",50.876850645,9.36103372909,">50,2724/<9,7901"
